reference,part,quantity,order_option,purchase_url,technical_source,unit_usd,status,model_objects,checked_date
U-BLE,Adafruit Bluefruit LE UART Friend #2479,1,21×32×5mm / UART / 5V 입력 허용 / CTS·RTS 배선,https://www.adafruit.com/products/2479,https://learn.adafruit.com/introducing-the-adafruit-bluefruit-le-uart-friend?view=all,17.5,판매 페이지 확인 / 배송·최종 재고는 주문 시 확인,L_BLE*,2026-09-09
U-IO,Adafruit MCP23017 breakout #5346,1,43×18×5mm / 5V / I2C 주소0x20 / 센서 입력 확장,https://www.adafruit.com/product/5346,,5.95,판매 페이지 확인 / 배송·최종 재고는 주문 시 확인,L_MCP23017*,2026-09-09
U5,Pololu D24V10F5 #2831,1,5V 1A / 17.78×12.7×3.56mm / 12V 입력,https://www.pololu.com/product/2831,https://www.pololu.com/product/2831/specs,12.95,판매 페이지 확인 / 배송·최종 재고는 주문 시 확인,L_D24V10F5*,2026-09-09
L1,Adafruit lock solenoid #5065,1,12V / 약350mA / R3 잠금 형상 유지,https://www.adafruit.com/product/5065,https://cdn-shop.adafruit.com/product-files/5065/5065_C16212.pdf,7.5,판매 페이지 확인 / 배송·최종 재고는 주문 시 확인,잠금_5065_* / R3_lock_bolt_4p3mm,2026-09-09
S1..10,D2F-01L SPDT lever microswitch,10,PC pin / 12.8×5.8×6.5mm 본체 / 좌우 상·하 4 + 래치2 + 덮개2 + 패널·보호판2,https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/D2F-01L/83264,https://components.omron.com/sites/default/files/datasheet_pdf/B036-E1.pdf,1.44,판매 페이지 확인 / 배송·최종 재고는 주문 시 확인,L_DOWN_* / L_UP_* / L_latch_* / L_lid_* / L_panel_seated / L_deck_seated,2026-09-09
Q1,IRLZ44NPBF,1,TO-220 / logic-level N-MOSFET / 5V gate,https://www.aliexpress.com/w/wholesale-IRLZ44NPBF.html,,,규격품 검색 링크; 특정 판매자·재고·품질 확인 전,L_IRLZ44N,2026-09-09
D1,1N4007,1,DO-41 / 솔레노이드 코일 플라이백 전용,https://www.aliexpress.com/w/wholesale-1N4007-diode.html,,,규격품 검색 링크; 특정 판매자·재고·품질 확인 전,,2026-09-09
D0,SB310,1,3A 100V Schottky / 입력 역극성 보호,https://www.aliexpress.com/w/wholesale-SB310-diode.html,,,규격품 검색 링크; 특정 판매자·재고·품질 확인 전,,2026-09-09
F1,T1A 250V 5x20 fuse + holder,1,메인 12V 가지 / DC 차단 정격 확인,https://www.aliexpress.com/w/wholesale-T1A-fuse-5x20-holder.html,,,규격품 검색 링크; 특정 판매자·재고·품질 확인 전,L_FUSE_MAIN,2026-09-09
F2,T315mA 250V 5x20 fuse + holder,1,모터 가지 / DC 차단 정격·기동 내량 실측,https://www.aliexpress.com/w/wholesale-T315mA-fuse-5x20-holder.html,,,규격품 검색 링크; 특정 판매자·재고·품질 확인 전,L_FUSE_MOTOR,2026-09-09
R-set,금속피막 1% 0.25W 저항,1,220Ω×1;47kΩ×1;10kΩ×4;100kΩ×1;33kΩ×1;1kΩ×3;866Ω×1 (DRV VREF 설정),https://www.aliexpress.com/w/wholesale-metal-film-resistor-1-percent-kit.html,,,규격품 검색 링크; 특정 판매자·재고·품질 확인 전,,2026-09-09
C-set,전해·세라믹 커패시터,1,470uF25V×1;47uF10V×1;10uF10V×1;100nF50V×6,https://www.aliexpress.com/w/wholesale-capacitor-assortment-25V-470uF-100nF.html,,,규격품 검색 링크; 특정 판매자·재고·품질 확인 전,,2026-09-09
PCB,2.54mm perfboard,1,30×55mm 절단 / 하부 전원·잠금 회로,https://www.aliexpress.com/w/wholesale-2.54mm-perfboard.html,,,규격품 검색 링크; 특정 판매자·재고·품질 확인 전,L_power_and_latch_board,2026-09-09
J1,DC-022 5.5x2.1mm panel jack,1,중앙+ / 12V 1A 이상 / 장착 외경8mm 확인,https://www.aliexpress.com/w/wholesale-DC-022-5.5-2.1-panel-jack.html,,,규격품 검색 링크; 특정 판매자·재고·품질 확인 전,L_12V_jack,2026-09-09
W1,JST-XH 2.54 connectors and silicone wire,1,2P×3세트;4P×3세트;센서10개용3P×10세트;22AWG전원·28AWG신호,https://www.aliexpress.com/w/wholesale-JST-XH-2.54-connector-kit.html,,,규격품 검색 링크; 특정 판매자·재고·품질 확인 전,,2026-09-09
W2,Shielded flexible load cell cable,1,4심+실드 / 최소0.5m / 여유루프 및 고정클립,https://www.aliexpress.com/w/wholesale-4-core-shielded-flexible-cable.html,,,규격품 검색 링크; 특정 판매자·재고·품질 확인 전,,2026-09-09
PS1,12V 2A regulated external adapter,1,KC인증 제품 / 5.5×2.1mm 중앙+ / 220V AC 입력. 상자 내부 배터리 아님,https://www.aliexpress.com/w/wholesale-12V-2A-power-supply-5.5-2.1.html,,,규격품 검색 링크; 특정 판매자·재고·품질 확인 전,,2026-09-09
H1,M2 fasteners,1,레일용M2×6 28개;캐리지용M2×6 8개(실효나사물림2.5mm);스위치용M2×12 20개+너트,https://www.aliexpress.com/w/wholesale-M2-metric-screw-assortment.html,,,규격품 검색 링크; 특정 판매자·재고·품질 확인 전,,2026-09-09
H2,M3 fasteners,1,PQ12 부속 우선;램프M3×8 8개;보호판M3×10 4개;패널M3×14 2개;샤프트클램프M3×16 8개;조절·예비M3 12개,https://www.aliexpress.com/w/wholesale-M3-metric-screw-assortment.html,,,규격품 검색 링크; 특정 판매자·재고·품질 확인 전,,2026-09-09
H3,3mm shoulder bolts and washers,4,롤러 축 Ø3 매끈한 어깨 / 유효어깨16mm / 623 내륜만 체결 / 외륜 비접촉,https://www.aliexpress.com/w/wholesale-3mm-shoulder-screw-16mm.html,,,규격품 검색 링크; 특정 판매자·재고·품질 확인 전,,2026-09-09
H4,M6 load cell fasteners,4,고정단2·가동단2 / R3 구멍피치 / 물림·카운터보어는 납품 도면 대조,https://www.aliexpress.com/w/wholesale-M6-low-head-socket-screw.html,,,규격품 검색 링크; 특정 판매자·재고·품질 확인 전,,2026-09-09
H5,M2.5 keeper screws,2,R3 블라인드 체결 / 바깥면 관통 금지,https://www.aliexpress.com/w/wholesale-M2.5-socket-screw.html,,,규격품 검색 링크; 특정 판매자·재고·품질 확인 전,,2026-09-09
